"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"11",13,13,13,13,13,13,13,13,12,12,12,12,10.0159044265747,10.0159044265747,10.0159044265747,10,10,10,10,8,8,8,8,6,6,6,6,0,0,0,0,0,0,0,0,8,8,8,8.01590442657471,8.01590442657471,8.01590442657471,8.01590442657471,12,12,12,12,13,13,13,13,10,10,10,10,9.16563415527344,9.16563415527344,9.16563415527344,9.16563415527344,9.17222213745117,9.17222213745117,9.17222213745117,9.17222213745117,9.17881011962891,9.17881011962891,9.17881011962891,9.18539810180664,9.18539810180664,9.18539810180664,9.18539810180664,9.19198608398438,9.19198608398438,9.19198608398438,9.19198608398438,9.19857406616211,9.19857406616211,9.19857406616211,9.19857406616211,9.20516109466553,9.20516109466553,9.20516109466553,9.20516109466553,9.21174907684326,9.21174907684326,9.21174907684326,9.21174907684326,10,10,10,9,9,9,9,11,11,11,11,11,11,11,11
"12",13,13,13,13,13,13,13,13,12,12,12,12,10.0159044265747,10.0159044265747,10.0159044265747,10,10,10,10,8,8,8,8,6,6,6,6,0,0,0,0,0,0,0,0,8,8,8,8.01590442657471,8.01590442657471,8.01590442657471,8.01590442657471,12,12,12,12,13,13,13,13,10,10,10,10,9.16563415527344,9.16563415527344,9.16563415527344,9.16563415527344,9.17222213745117,9.17222213745117,9.17222213745117,9.17222213745117,9.17881011962891,9.17881011962891,9.17881011962891,9.18539810180664,9.18539810180664,9.18539810180664,9.18539810180664,9.19198608398438,9.19198608398438,9.19198608398438,9.19198608398438,9.19857406616211,9.19857406616211,9.19857406616211,9.19857406616211,9.20516109466553,9.20516109466553,9.20516109466553,9.20516109466553,9.21174907684326,9.21174907684326,9.21174907684326,9.21174907684326,10,10,10,9,9,9,9,11,11,11,11,11,11,11,11
"13",12,12,12,12,13,13,13,13,16,16,16,16,12,12,12,10,10,10,10,8,8,8,8,5,5,5,5,0,0,0,0,0,0,0,0,8,8,8,8.01590442657471,8.01590442657471,8.01590442657471,8.01590442657471,13,13,13,13,10,10,10,10,9.18812656402588,9.18812656402588,9.18812656402588,9.18812656402588,10,10,10,10,9.18812656402588,9.18812656402588,9.18812656402588,9.18812656402588,9.19471454620361,9.19471454620361,9.19471454620361,9.20130252838135,9.20130252838135,9.20130252838135,9.20130252838135,10,10,10,10,11,11,11,11,10,10,10,10,9.22765445709229,9.22765445709229,9.22765445709229,9.22765445709229,9.23424243927002,9.23424243927002,9.23424243927002,9.25014686584473,9.25014686584473,9.25014686584473,9.25014686584473,10,10,10,10,12,12,12,12
"14",12,12,12,12,13,13,13,13,16,16,16,16,12,12,12,10,10,10,10,8,8,8,8,5,5,5,5,0,0,0,0,0,0,0,0,8,8,8,8.01590442657471,8.01590442657471,8.01590442657471,8.01590442657471,13,13,13,13,10,10,10,10,9.18812656402588,9.18812656402588,9.18812656402588,9.18812656402588,10,10,10,10,9.18812656402588,9.18812656402588,9.18812656402588,9.18812656402588,9.19471454620361,9.19471454620361,9.19471454620361,9.20130252838135,9.20130252838135,9.20130252838135,9.20130252838135,10,10,10,10,11,11,11,11,10,10,10,10,9.22765445709229,9.22765445709229,9.22765445709229,9.22765445709229,9.23424243927002,9.23424243927002,9.23424243927002,9.25014686584473,9.25014686584473,9.25014686584473,9.25014686584473,10,10,10,10,12,12,12,12
"15",12,12,12,12,13,13,13,13,16,16,16,16,12,12,12,10,10,10,10,8,8,8,8,5,5,5,5,0,0,0,0,0,0,0,0,8,8,8,8.01590442657471,8.01590442657471,8.01590442657471,8.01590442657471,13,13,13,13,10,10,10,10,9.18812656402588,9.18812656402588,9.18812656402588,9.18812656402588,10,10,10,10,9.18812656402588,9.18812656402588,9.18812656402588,9.18812656402588,9.19471454620361,9.19471454620361,9.19471454620361,9.20130252838135,9.20130252838135,9.20130252838135,9.20130252838135,10,10,10,10,11,11,11,11,10,10,10,10,9.22765445709229,9.22765445709229,9.22765445709229,9.22765445709229,9.23424243927002,9.23424243927002,9.23424243927002,9.25014686584473,9.25014686584473,9.25014686584473,9.25014686584473,10,10,10,10,12,12,12,12
"16",15,15,15,15,18,18,18,18,16,16,16,16,13,13,13,11,11,11,11,8,8,8,8,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,9,9,9,9,12,12,12,12,12,12,12,12,9.20403099060059,9.20403099060059,9.20403099060059,9.20403099060059,9.21061897277832,9.21061897277832,9.21061897277832,9.21061897277832,9.20403099060059,9.20403099060059,9.20403099060059,9.20403099060059,9.21061897277832,9.21061897277832,9.21061897277832,9.21720695495605,9.21720695495605,9.21720695495605,9.21720695495605,9.22379493713379,9.22379493713379,9.22379493713379,9.22379493713379,10,10,10,10,9.25014686584473,9.25014686584473,9.25014686584473,9.25014686584473,9.24355888366699,9.24355888366699,9.24355888366699,9.24355888366699,9.25014686584473,9.25014686584473,9.25014686584473,10,10,10,10,10,10,10,10,10.0159044265747,10.0159044265747,10.0159044265747,10.0159044265747
"17",15,15,15,15,18,18,18,18,16,16,16,16,13,13,13,11,11,11,11,8,8,8,8,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,9,9,9,9,12,12,12,12,12,12,12,12,9.20403099060059,9.20403099060059,9.20403099060059,9.20403099060059,9.21061897277832,9.21061897277832,9.21061897277832,9.21061897277832,9.20403099060059,9.20403099060059,9.20403099060059,9.20403099060059,9.21061897277832,9.21061897277832,9.21061897277832,9.21720695495605,9.21720695495605,9.21720695495605,9.21720695495605,9.22379493713379,9.22379493713379,9.22379493713379,9.22379493713379,10,10,10,10,9.25014686584473,9.25014686584473,9.25014686584473,9.25014686584473,9.24355888366699,9.24355888366699,9.24355888366699,9.24355888366699,9.25014686584473,9.25014686584473,9.25014686584473,10,10,10,10,10,10,10,10,10.0159044265747,10.0159044265747,10.0159044265747,10.0159044265747
"18",15,15,15,15,18,18,18,18,16,16,16,16,13,13,13,11,11,11,11,8,8,8,8,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,9,9,9,9,12,12,12,12,12,12,12,12,9.20403099060059,9.20403099060059,9.20403099060059,9.20403099060059,9.21061897277832,9.21061897277832,9.21061897277832,9.21061897277832,9.20403099060059,9.20403099060059,9.20403099060059,9.20403099060059,9.21061897277832,9.21061897277832,9.21061897277832,9.21720695495605,9.21720695495605,9.21720695495605,9.21720695495605,9.22379493713379,9.22379493713379,9.22379493713379,9.22379493713379,10,10,10,10,9.25014686584473,9.25014686584473,9.25014686584473,9.25014686584473,9.24355888366699,9.24355888366699,9.24355888366699,9.24355888366699,9.25014686584473,9.25014686584473,9.25014686584473,10,10,10,10,10,10,10,10,10.0159044265747,10.0159044265747,10.0159044265747,10.0159044265747
"19",15,15,15,15,18,18,18,18,16,16,16,16,13,13,13,11,11,11,11,8,8,8,8,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,9,9,9,9,12,12,12,12,12,12,12,12,9.20403099060059,9.20403099060059,9.20403099060059,9.20403099060059,9.21061897277832,9.21061897277832,9.21061897277832,9.21061897277832,9.20403099060059,9.20403099060059,9.20403099060059,9.20403099060059,9.21061897277832,9.21061897277832,9.21061897277832,9.21720695495605,9.21720695495605,9.21720695495605,9.21720695495605,9.22379493713379,9.22379493713379,9.22379493713379,9.22379493713379,10,10,10,10,9.25014686584473,9.25014686584473,9.25014686584473,9.25014686584473,9.24355888366699,9.24355888366699,9.24355888366699,9.24355888366699,9.25014686584473,9.25014686584473,9.25014686584473,10,10,10,10,10,10,10,10,10.0159044265747,10.0159044265747,10.0159044265747,10.0159044265747
"20",19,19,19,19,21,21,21,21,16,16,16,16,11,11,11,9,9,9,9,7,7,7,7,0,0,0,0,0,0,0,0,8,8,8,8,9,9,9,12,12,12,12,17,17,17,17,16,16,16,16,9.21993541717529,9.21993541717529,9.21993541717529,9.21993541717529,9.22652339935303,9.22652339935303,9.22652339935303,9.22652339935303,9.21993541717529,9.21993541717529,9.21993541717529,9.21993541717529,9.22652339935303,9.22652339935303,9.22652339935303,9.23311138153076,9.23311138153076,9.23311138153076,9.23311138153076,9.2396993637085,9.2396993637085,9.2396993637085,9.2396993637085,9.24628734588623,9.24628734588623,9.24628734588623,9.24628734588623,9.26219177246094,9.26219177246094,9.26219177246094,9.26219177246094,9.2594633102417,9.2594633102417,9.2594633102417,9.2594633102417,11,11,11,10,10,10,10,10.0159044265747,10.0159044265747,10.0159044265747,10.0159044265747,10.0224924087524,10.0224924087524,10.0224924087524,10.0224924087524
"21",19,19,19,19,21,21,21,21,16,16,16,16,11,11,11,9,9,9,9,7,7,7,7,0,0,0,0,0,0,0,0,8,8,8,8,9,9,9,12,12,12,12,17,17,17,17,16,16,16,16,9.21993541717529,9.21993541717529,9.21993541717529,9.21993541717529,9.22652339935303,9.22652339935303,9.22652339935303,9.22652339935303,9.21993541717529,9.21993541717529,9.21993541717529,9.21993541717529,9.22652339935303,9.22652339935303,9.22652339935303,9.23311138153076,9.23311138153076,9.23311138153076,9.23311138153076,9.2396993637085,9.2396993637085,9.2396993637085,9.2396993637085,9.24628734588623,9.24628734588623,9.24628734588623,9.24628734588623,9.26219177246094,9.26219177246094,9.26219177246094,9.26219177246094,9.2594633102417,9.2594633102417,9.2594633102417,9.2594633102417,11,11,11,10,10,10,10,10.0159044265747,10.0159044265747,10.0159044265747,10.0159044265747,10.0224924087524,10.0224924087524,10.0224924087524,10.0224924087524
"22",19,19,19,19,21,21,21,21,16,16,16,16,11,11,11,9,9,9,9,7,7,7,7,0,0,0,0,0,0,0,0,8,8,8,8,9,9,9,12,12,12,12,17,17,17,17,16,16,16,16,9.21993541717529,9.21993541717529,9.21993541717529,9.21993541717529,9.22652339935303,9.22652339935303,9.22652339935303,9.22652339935303,9.21993541717529,9.21993541717529,9.21993541717529,9.21993541717529,9.22652339935303,9.22652339935303,9.22652339935303,9.23311138153076,9.23311138153076,9.23311138153076,9.23311138153076,9.2396993637085,9.2396993637085,9.2396993637085,9.2396993637085,9.24628734588623,9.24628734588623,9.24628734588623,9.24628734588623,9.26219177246094,9.26219177246094,9.26219177246094,9.26219177246094,9.2594633102417,9.2594633102417,9.2594633102417,9.2594633102417,11,11,11,10,10,10,10,10.0159044265747,10.0159044265747,10.0159044265747,10.0159044265747,10.0224924087524,10.0224924087524,10.0224924087524,10.0224924087524
"23",19,19,19,19,21,21,21,21,16,16,16,16,11,11,11,9,9,9,9,7,7,7,7,0,0,0,0,0,0,0,0,8,8,8,8,9,9,9,12,12,12,12,17,17,17,17,16,16,16,16,9.21993541717529,9.21993541717529,9.21993541717529,9.21993541717529,9.22652339935303,9.22652339935303,9.22652339935303,9.22652339935303,9.21993541717529,9.21993541717529,9.21993541717529,9.21993541717529,9.22652339935303,9.22652339935303,9.22652339935303,9.23311138153076,9.23311138153076,9.23311138153076,9.23311138153076,9.2396993637085,9.2396993637085,9.2396993637085,9.2396993637085,9.24628734588623,9.24628734588623,9.24628734588623,9.24628734588623,9.26219177246094,9.26219177246094,9.26219177246094,9.26219177246094,9.2594633102417,9.2594633102417,9.2594633102417,9.2594633102417,11,11,11,10,10,10,10,10.0159044265747,10.0159044265747,10.0159044265747,10.0159044265747,10.0224924087524,10.0224924087524,10.0224924087524,10.0224924087524
